/*---------------*\
   DATI FORNITURE
\*---------------*/

00905811006, 00905811006, 2024-08-19, 240.000, 0.00
00905811006, 00905811006, 2024-08-20, 370.000, 0.00
00905811006, 00905811006, 2024-08-21, 200.000, 0.00
00905811006, 00905811006, 2024-08-22, 675.000, 0.00
00905811006, 00905811006, 2024-08-23, 550.000, 0.00
00905811006, 00905811006, 2024-08-24, 430.000, 0.00
00905811006, 00905811006, 2024-08-25, 250.000, 0.00
08371542908, 15844561009, 2024-08-19, 305.000, 45.00
06543210789, 15844561009, 2024-08-19, 315.000, 43.26
08371542908, 15844561009, 2024-08-20, 405.000, 60.00
06543210789, 15844561009, 2024-08-20, 475.000, 65.80
08371542908, 15844561009, 2024-08-21, 405.000, 60.00
06543210789, 15844561009, 2024-08-21, 305.000, 41.72
08371542908, 15844561009, 2024-08-22, 305.000, 45.00
06543210789, 15844561009, 2024-08-22, 250.000, 33.32
08371542908, 15844561009, 2024-08-23, 305.000, 45.00
06543210789, 15844561009, 2024-08-23, 450.000, 59.78
08371542908, 15844561009, 2024-08-24, 555.000, 82.50
06543210789, 15844561009, 2024-08-24, 405.000, 55.86
08371542908, 15844561009, 2024-08-25, 550.000, 81.45
06543210789, 15844561009, 2024-08-25, 550.000, 76.02
06543210789, 08600990017, 2024-08-19, 305.000, 42.00
04785920361, 08600990017, 2024-08-19, 305.000, 48.00
03871920485, 08600990017, 2024-08-19, 280.000, 51.00
06543210789, 08600990017, 2024-08-20, 255.000, 35.00
04785920361, 08600990017, 2024-08-20, 255.000, 40.00
03871920485, 08600990017, 2024-08-20, 265.000, 44.03
06543210789, 08600990017, 2024-08-21, 405.000, 56.00
04785920361, 08600990017, 2024-08-21, 205.000, 32.00
03871920485, 08600990017, 2024-08-21, 230.000, 36.38
06543210789, 08600990017, 2024-08-22, 205.000, 28.00
04785920361, 08600990017, 2024-08-22, 205.000, 32.00
03871920485, 08600990017, 2024-08-22, 120.000, 19.55
06543210789, 08600990017, 2024-08-23, 335.000, 46.48
04785920361, 08600990017, 2024-08-23, 335.000, 53.12
03871920485, 08600990017, 2024-08-23, 335.000, 56.44
06543210789, 08600990017, 2024-08-24, 255.000, 35.00
04785920361, 08600990017, 2024-08-24, 205.000, 32.00
03871920485, 08600990017, 2024-08-24, 275.000, 45.56
06543210789, 08600990017, 2024-08-25, 205.000, 28.00
04785920361, 08600990017, 2024-08-25, 205.000, 32.00
03871920485, 08600990017, 2024-08-25, 295.000, 48.96
